affinity_name,status_report,offer_number,policy_number,zipcode_link,zip4,birth_date,brand,date_offer,date_request,policy_start_date,premium,buildyear_car,buildmonth_car,wa,wa_bep_ca,wa_ca,updated_on,,
Insuro,Requestwithdrawn,1000,10000,10000,2132,Jan-85,HYUNDAI,10/11/2018,10/11/2018,11/1/2018,686.04,2016,June,Y,NA,NA,10/11/2018,,
other,Tailoredofferwithdrawn,1001,NA,10001,6027,Apr-87,AUDI,10/11/2018,NA,NA,0,2015,June,N,N,N,10/12/2018,,
other,Incompleterequest,1002,NA,10002,3824,Nov-72,VOLKSWAGEN,10/11/2018,NA,NA,896.04,2016,April,NA,NA,Y,10/11/2018,,
other,Policycreated,1003,10002,10003,6921,Aug-83,MAZDA,10/11/2018,10/11/2018,10/12/2018,419.16,2009,June,NA,Y,NA,10/11/2018,,
other,Policycreated,1004,10003,10004,8266,Apr-90,VOLVO,10/12/2018,10/12/2018,11/1/2018,402.36,2003,January,Y,NA,NA,10/12/2018,,
Insuro,Calculatenewpremium,1005,NA,10005,9642,Sep-74,HYUNDAI,10/12/2018,NA,NA,366.48,2002,April,NA,NA,Y,10/12/2018,,
other,Calculatenewpremium,1006,NA,10006,6281,Jan-76,VOLKSWAGEN,10/12/2018,NA,NA,611.52,2002,November,Y,NA,NA,10/12/2018,,
other,Calculatenewpremium,1007,NA,10007,9451,Jan-50,SKODA,10/12/2018,NA,NA,839.52,2017,January,NA,NA,Y,10/12/2018,,what does updated on mean?
Insuro,Policycreated,1008,10004,10008,3081,Oct-53,TOYOTA,10/13/2018,10/14/2018,12/1/2018,279.12,2003,May,Y,NA,NA,10/15/2018,,
Seguros International Ltd.,Calculatenewpremium,1009,NA,10009,1333,Mar-94,TOYOTA,10/14/2018,NA,NA,323.4,1997,September,Y,NA,NA,10/14/2018,,
other,Requestrejected,1010,10005,10010,2272,Aug-91,BMW,10/14/2018,10/14/2018,10/16/2018,1391.16,2008,April,NA,NA,Y,10/16/2018,,
other,Incompleterequest,1011,NA,10011,3553,Nov-71,SKODA,10/14/2018,NA,NA,913.32,2016,February,NA,NA,Y,11/5/2018,,
other,Incompleterequest,1012,NA,10012,6214,Sep-92,TOYOTA,10/15/2018,NA,NA,564.6,2016,October,NA,NA,Y,10/15/2018,,
Insuro,Tailoredofferrejected,1013,NA,10013,4751,May-95,BMW,10/15/2018,NA,NA,0,2018,April,N,N,N,10/16/2018,,
Insuro,Calculatenewpremium,1014,NA,10013,4751,May-95,BMW,10/15/2018,NA,NA,NA,2018,April,N,N,N,10/15/2018,,
other,Incompleterequest,1015,NA,10014,7211,Mar-59,VOLVO,10/15/2018,NA,NA,527.52,2009,September,NA,NA,Y,10/15/2018,,
other,Calculatenewpremium,1016,NA,10014,7211,Mar-59,VOLVO,10/15/2018,NA,NA,515.64,2009,September,NA,NA,Y,10/15/2018,,
Insuro,Incompleterequest,1017,NA,10015,3077,Aug-66,OPEL,10/16/2018,NA,NA,314.52,2005,August,Y,NA,NA,10/16/2018,,
other,Calculatenewpremium,1018,NA,10016,3332,Jun-69,AUDI,10/16/2018,NA,NA,926.16,2017,March,NA,NA,Y,10/16/2018,,
Seguros International Ltd.,Policycreated,1019,10006,10017,2971,May-98,VOLKSWAGEN,10/16/2018,10/16/2018,10/20/2018,165.48,2000,April,Y,NA,NA,10/17/2018,,
other,Policycreated,1020,10007,10018,1013,Jul-66,PEUGEOT,10/17/2018,10/17/2018,11/2/2018,801.23,2012,September,NA,NA,Y,10/23/2018,,
Insuro,Personaloffer,1021,NA,10019,1097,Feb-70,DAEWOO,10/17/2018,NA,NA,198.96,2003,October,Y,NA,NA,10/23/2018,,
other,Policycreated,1022,10008,10020,9528,Feb-54,PEUGEOT,10/17/2018,10/17/2018,12/1/2018,328.78,2012,April,NA,NA,Y,10/18/2018,,
other,Policycreated,1023,10009,10020,9528,Feb-54,KIA,10/17/2018,10/17/2018,1/1/2019,147.91,2013,October,NA,Y,NA,10/18/2018,,
Insuro,Incompleterequest,1024,NA,10021,2331,Oct-63,HYUNDAI,10/17/2018,NA,NA,373.56,1999,August,Y,NA,NA,10/17/2018,,
Insuro,Policycreated,1025,10010,10022,2512,Aug-91,VOLKSWAGEN,10/18/2018,10/18/2018,10/19/2018,477.36,2009,March,Y,NA,NA,10/18/2018,,
Insuro,Incompleterequest,1026,NA,10015,3077,Aug-66,OPEL,10/18/2018,NA,NA,314.52,2005,August,Y,NA,NA,10/18/2018,,
Insuro,Calculatenewpremium,1027,NA,10023,2401,Jun-72,VOLVO,10/18/2018,NA,NA,718.56,1996,January,NA,NA,Y,10/18/2018,,
Insuro,Policycreated,1028,10011,10024,6942,May-67,VOLKSWAGEN,10/18/2018,10/18/2018,11/6/2018,327.48,2016,July,NA,NA,Y,10/18/2018,,
other,Incompleterequest,1029,NA,10015,3077,Aug-66,OPEL,10/18/2018,NA,NA,498.6,2005,August,Y,NA,NA,10/18/2018,,
other,Requestwithdrawn,1030,10012,10025,3205,Jan-62,VOLVO,10/18/2018,10/18/2018,11/1/2018,476.4,2007,June,NA,NA,Y,10/19/2018,,
Seguros International Ltd.,Incompleterequest,1031,NA,10026,1011,Nov-76,VOLVO,10/18/2018,NA,NA,340.2,2000,November,Y,NA,NA,10/18/2018,,
Insuro,Incompleterequest,1032,NA,10027,1901,Jul-95,VOLKSWAGEN,10/18/2018,NA,NA,256.8,2002,December,Y,NA,NA,10/18/2018,,
Insuro,Incompleterequest,1033,NA,10027,1901,Jul-95,VOLKSWAGEN,10/18/2018,NA,NA,256.8,2002,December,Y,NA,NA,10/18/2018,,
other,Policycreated,1034,10013,10028,2983,Mar-65,OPEL,10/18/2018,10/18/2018,11/1/2018,452.88,2010,June,NA,NA,Y,10/19/2018,,
other,Incompleterequest,1035,NA,10028,2983,Jun-93,RENAULT,10/18/2018,NA,NA,269.76,2003,June,Y,NA,NA,10/18/2018,,
Insuro,Calculatenewpremium,1036,NA,10029,3053,Nov-88,VOLKSWAGEN,10/18/2018,NA,NA,719.88,2002,June,NA,NA,Y,10/18/2018,,
other,Policycreated,1037,10014,10028,2983,Jun-93,RENAULT,10/18/2018,10/18/2018,11/1/2018,269.76,2003,June,Y,NA,NA,10/19/2018,,
Insuro,Policycreated,1038,10015,10030,2421,Aug-93,ALFA ROMEO,10/19/2018,10/19/2018,10/20/2018,395.49,2009,March,NA,Y,NA,10/22/2018,,
Insuro,Calculatenewpremium,1039,NA,10031,3111,Jan-63,PEUGEOT,10/19/2018,NA,NA,309.96,2016,March,NA,Y,NA,10/19/2018,,
other,Incompleterequest,1040,NA,10032,5051,Feb-62,PEUGEOT,10/19/2018,NA,NA,452.04,2015,February,NA,NA,Y,10/19/2018,,
other,Incompleterequest,1041,NA,10032,5051,Mar-63,PEUGEOT,10/19/2018,NA,NA,440.52,2015,February,NA,NA,Y,10/19/2018,,
other,Policycreated,1042,10016,10032,5051,Feb-61,PEUGEOT,10/20/2018,10/20/2018,12/1/2018,490.32,2015,February,NA,NA,Y,10/22/2018,,
Seguros International Ltd.,Incompleterequest,1043,NA,10033,8262,Apr-86,OPEL,10/20/2018,NA,NA,580.92,2013,June,NA,NA,Y,10/20/2018,,
Seguros International Ltd.,Policycreated,1044,10017,10033,8262,Apr-86,OPEL,10/20/2018,10/22/2018,10/23/2018,580.92,2013,June,NA,NA,Y,10/22/2018,,
Insuro,Incompleterequest,1045,NA,10034,3845,Mar-78,FORD,10/20/2018,NA,NA,373.56,2011,October,NA,Y,NA,10/20/2018,,
Insuro,Incompleterequest,1046,NA,10035,3074,Aug-79,VOLKSWAGEN,10/20/2018,NA,NA,739.68,2007,March,NA,Y,NA,10/20/2018,,
Seguros International Ltd.,Calculatenewpremium,1047,NA,10036,5954,Dec-69,MERCEDES-BENZ,10/21/2018,NA,NA,702.24,2004,August,NA,NA,Y,10/21/2018,,
Insuro,Calculatenewpremium,1048,NA,10027,1901,Jul-95,VOLKSWAGEN,10/21/2018,NA,NA,NA,2011,August,N,N,N,10/21/2018,,
Insuro,Incompleterequest,1049,NA,10037,3031,Apr-88,VOLKSWAGEN,10/21/2018,NA,NA,526.8,2007,January,Y,NA,NA,10/21/2018,,
Insuro,Requestwithdrawn,1050,10018,10038,2544,Sep-93,SEAT,10/21/2018,10/21/2018,10/22/2018,430.32,2006,January,Y,NA,NA,10/22/2018,,
Insuro,Calculatenewpremium,1051,NA,10039,2726,May-84,FORD,10/22/2018,NA,NA,348.96,2011,October,NA,NA,Y,10/22/2018,,
